date,modal_price,min_price,max_price,rainfall_mm,avg_temp_c,avg_humidity_pct,rainfall_4wk_ma,MSP,diesel_price,fertilizer_price_index,export_ban,MSP_pct_change,diesel_pct_change,fertilizer_pct_change,MSP_4wk_ma,diesel_4wk_ma,fertilizer_4wk_ma
2014-12-30,32.8,30,36,1.5000001,25.1778735,82.49928499999999,,1410.0,54.82,99.66,0.0,,,,,,
2015-01-06,32.69,30,36,3.0,25.736057428571428,81.11608271428572,,1410.0,55.86,99.75,0.0,0.0,1.8971178402042987,0.0903070439494335,,,
2015-01-13,31.33,30,36,0.2,25.542905,77.38274642857142,,1410.0,55.58,99.76,0.0,0.0,-0.5012531328320802,0.0100250626566378,,,
2015-01-20,34.41,30,36,4.60000005,26.53546557142857,77.37105257142856,2.3250000375,1410.0,55.62,100.41,0.0,0.0,0.071968333933059,0.6515637530072116,1410.0,55.47,99.895
2015-01-27,32.88,30,36,0.1,26.90927442857143,75.03164285714286,1.9750000125,1410.0,54.13,100.17,0.0,0.0,-2.678892484717721,-0.2390200179264945,1410.0,55.2975,100.0225
2015-02-03,30.56,30,36,0.5,27.52058242857143,72.27333285714285,1.3500000125,1410.0,55.72,100.64,0.0,0.0,2.937372990947717,0.4692023559948133,1410.0,55.2625,100.245
2015-02-10,35.61,30,36,2.50000005,27.476238,73.67647571428571,1.925000025,1410.0,55.92,100.22,0.0,0.0,0.3589375448671994,-0.4173290937996787,1410.0,55.3475,100.36
2015-02-17,31.55,30,36,1.80000005,27.358678142857144,73.78244857142856,1.225000025,1410.0,55.67,100.41,0.0,0.0,-0.447067238912735,0.1895829175813101,1410.0,55.36,100.36
2015-02-24,30.82,30,36,2.29999995,27.426833285714284,71.37606628571429,1.7750000125,1410.0,56.27,100.26,0.0,0.0,1.0777797736662542,-0.1493875112040577,1410.0,55.895,100.3825
2015-03-03,31.82,30,36,20.0999991,27.477725714285715,78.01575271428571,6.674999787499999,1410.0,56.57,100.72,0.0,0.0,0.5331437711036058,0.4588071015360073,1410.0,56.1075,100.4025
2015-03-10,35.51,30,36,17.29999954,27.508976285714287,78.21541,10.37499966,1410.0,55.34,100.01,0.0,0.0,-2.174297330740671,-0.7049245432883211,1410.0,55.9625,100.35
2015-03-17,34.72,30,36,14.9,27.87266728571429,78.43857714285714,13.6499996475,1410.0,54.74,100.04,0.0,0.0,-1.084206722081682,0.0299970002999749,1410.0,55.73,100.2575
2015-03-24,34.24,30,36,2.9000001,29.126237857142858,71.76171857142857,13.799999685,1410.0,54.97,99.75,0.0,0.0,0.4201680672268892,-0.28988404638145,1410.0,55.405,100.13
2015-03-31,34.88,30,36,36.6000018,28.45242942857143,77.476178,17.92500036,1410.0,53.96,100.33,0.0,0.0,-1.8373658359104983,0.5814536340852161,1410.0,54.752500000000005,100.0325
2015-04-07,33.93,30,36,31.3000001,28.281594428571427,81.00387357142857,21.4250005,1410.0,55.83,99.97,0.0,0.0,3.465530022238683,-0.3588159075052277,1410.0,54.875,100.0225
2015-04-14,31.53,30,36,74.5999985,26.79469028571429,86.42247414285714,36.350000125,1410.0,55.73,99.72,0.0,0.0,-0.1791151710549887,-0.2500750225067571,1410.0,55.1225,99.9425
